Naslov,Spletna povezava,Dolžina,Datum,EksplicitnostOpis
472: Martin Olson,https://audioboom.com/posts/7975913,4347,"Mon, 08 Nov 2021 19:31:14 +0000",no,"<![CDATA[<div> <strong>Martin Olson</strong>, infernal writer and comedian, re-joins the DTFH!<br> <br> Check out Martin's new book! <a href=""https://www.amazon.com/ENCYCLOPAEDIA-HELL-II-Concerning-Celestial/dp/1627311114/""><strong>ENCYCLOPAEDIA OF HELL II: The Conquest of Heaven A Demonic History of the Future Concerning the Celestial Realm and the Angelic Race Which Infests It</strong></a> - Available everywhere diabolic tomes are stored.<br> <br> Original music by <a href=""https://www.twitch.tv/aarongoldberg""><strong>Aaron Michael Goldberg</strong></a>.<br> <br>  </div> <div>This episode is brought to you by:</div> <div><br> </div> <ul> <li> <a href=""https://upstart.com/duncan""><strong>Upstart</strong></a> - Visit <a href=""https://upstart.com/duncan"">upstart.com/duncan</a> and see how Upstart can help you with your debt.</li> <li> <a href=""https://www.bespokepost.com/""><strong>Bespoke Post</strong></a> - Use code DUNCAN at checkout for 20% off your first order!</li> <li> <a href=""https://www.squarespace.com/duncan""><strong>Squarespace</strong></a> - Use offer code: DUNCAN to save 10% on your first site.</li> </ul> ]]>"
471: Bill Day AKA Mr. Bill,https://audioboom.com/posts/7970392,8538,"Sat, 30 Oct 2021 00:03:31 +0000",no,"<![CDATA[<div> <strong>Bill Day (AKA Mr. Bill)</strong>, genius DJ, musician, and music producer, re-joins the DTFH!<br> <br> Check out Mr. Bill's new album <a href=""https://mrbill.fanlink.to/phantasmagoria""><strong>Phantasmagoria</strong></a>, now available on all major streaming platforms! For all things Mr. Bill, and if you're interested in getting started as a DJ, check out <a href=""https://live.mrbillstunes.com/""><strong><a href=""http://MrBillsTunes.com"">MrBillsTunes.com</a></strong></a>.<br> <br> Original music by <a href=""https://www.twitch.tv/aarongoldberg""><strong>Aaron Michael Goldberg</strong></a>.<br> <br>  </div> <div>This episode is brought to you by:</div> <div><br> </div> <ul> <li> <a href=""https://coinbase.com/duncan""><strong>Coinbase</strong></a> - Sign up at <a href=""https://coinbase.com/duncan""><strong><a href=""http://coinbase.com/duncan"">coinbase.com/duncan</a></strong></a> and receive <strong>$10 of Bitcoin for FREE!</strong> </li> <li> <a href=""https://letsdisco.com/""><strong>Disco Skincare</strong></a> - Use code <strong>DUNCAN</strong> at checkout for <strong>30% off your first order!</strong> </li> </ul> ]]>"
"470: The Leather Rose, Episode 1",https://audioboom.com/posts/7965780,2991,"Fri, 22 Oct 2021 17:57:50 +0000",no,"<![CDATA[<div>Welcome to a new analysis of the mysteries of the universe. Welcome to a new exploration of the secrets of time. Welcome to <em>The Leather Rose</em>.<br> <br> Subscribe to The Leather Rose, soon to be available everywhere you listen to podcasts! For now, please <a href=""http://theleatherrose.libsyn.com/rss""><strong>subscribe with RSS</strong></a> (we'll update as it becomes available elsewhere).<br> <br> Original music by <a href=""https://www.twitch.tv/aarongoldberg""><strong>Aaron Michael Goldberg</strong></a>.<br> <br>  </div> <div>This episode is brought to you by:</div> <div><br> </div> <ul> <li> <a href=""https://www.squarespace.com/duncan""><strong>Squarespace</strong></a> - Use offer code: DUNCAN to save 10% on your first site.</li> <li> <a href=""https://www.bluechew.com/""><strong>BLUECHEW</strong></a> - Use offer code: DUNCAN at checkout and get your first shipment FREE with just $5 shipping.</li> <li> <a href=""https://betterhelp.com/duncan""><strong>BetterHelp</strong></a> - Visit <a href=""https://betterhelp.com/duncan"">betterhealth.com/duncan</a> to find a great counselor and get 10% off of your first month of counseling!</li> </ul> ]]>"
469: Connor Franta,https://audioboom.com/posts/7964648,4313,"Thu, 21 Oct 2021 03:14:56 +0000",no,"<![CDATA[<div> <strong>Connor Franta</strong>, great author and super-famous influencer, joins the DTFH!<br> <br> Check out Connor's new book, <a href=""https://www.amazon.com/House-Fires-Connor-Franta/dp/1982177713""><strong>House Fires</strong></a>, now available everywhere!<br> <br> Original music by <a href=""https://www.twitch.tv/aarongoldberg""><strong>Aaron Michael Goldberg</strong></a>.<br> <br>  </div> <div>This episode is brought to you by:<br> <br>  </div> <ul> <li> <a href=""https://www.babbel.com/""><strong>Babbel</strong></a> - Sign up for a 3-month subscription with promo code DUNCAN to get an extra 3 months FREE!</li> <li> <a href=""https://www.squarespace.com/duncan""><strong>Squarespace</strong></a> - Use offer code: DUNCAN to save 10% on your first site.</li> <li> <a href=""https://betterhelp.com/duncan""><strong>BetterHelp</strong></a> - Visit <a href=""https://betterhelp.com/duncan"">betterhealth.com/duncan</a> to find a great counselor and get 10% off of your first month of counseling!</li> </ul> ]]>"
468: Jordan Firstman,https://audioboom.com/posts/7960812,7452,"Fri, 15 Oct 2021 01:15:53 +0000",no,"<![CDATA[<div> <strong>Jordan Firstman</strong>, global pandemic superstar and new/old friend, joins the DTFH!<br> <br> <a href=""https://www.instagram.com/jtfirstman/""><strong>Click here</strong></a> and follow Jordan on Instagram!<br> <br> Original music by <a href=""https://www.twitch.tv/aarongoldberg""><strong>Aaron Michael Goldberg</strong></a>.<br> <br>  </div> <div>This episode is brought to you by:<br> <br>  </div> <ul> <li> <a href=""https://upstart.com/duncan""><strong>Upstart</strong></a> - Visit <a href=""https://upstart.com/duncan"">upstart.com/duncan</a> and see how Upstart can help you with your debt.</li> <li> <a href=""https://feals.com/""><strong>Feals</strong></a> - Visit <a href=""https://feals.com/"">feals.com/duncan</a> and get 50% off and FREE shipping on your first order.</li> <li> <a href=""https://purple.com/duncan""><strong>Purple</strong></a> - Visit <a href=""https://purple.com/duncan"">Purple.com/Duncan10</a> and use promo code DUNCAN10 for $200 Off any mattress order of $1500 or more!</li> </ul> ]]>"
467: Mitch Horowitz,https://audioboom.com/posts/7957478,4627,"Sat, 09 Oct 2021 04:35:28 +0000",no,"<![CDATA[<div> <strong>Mitch Horowitz</strong>, brilliant mind and author of a HUGE selection of books, re-joins the DTFH!<br> <br> Check out some of Mitch's books! <a href=""https://www.amazon.com/Miracle-Club-Thoughts-Become-Reality/dp/1620557665""><strong>The Miracle Club: How Thoughts Become Reality</strong></a> and <a href=""https://www.amazon.com/gp/product/B09B82N18S/""><strong>Daydream Believer: Unlocking the Ultimate Power of Your Mind</strong></a>. You can also check out <a href=""https://boingboing.net/2020/10/26/the-man-who-destroyed-skepticism.html""><strong>this article about James Randi</strong></a> that Mitch wrote recently.<br> <br> <strong>SPECIAL ANNOUNCEMENT!</strong> Duncan's amazing meditation teacher, David Nichtern, is hosting FIVE weekend workshops for his meditation teacher training. <a href=""https://www.dharmamoon.com/teacher-training""><strong>Click here for more information!</strong></a><strong><br> <br> </strong>Original music by <a href=""https://www.twitch.tv/aarongoldberg""><strong>Aaron Michael Goldberg</strong></a>.<br> <br>  </div> <div>This episode is brought to you by:</div> <div><br> </div> <ul> <li> <a href=""https://betterhelp.com/duncan""><strong>BetterHelp</strong></a> - Visit <a href=""https://betterhelp.com/duncan"">betterhealth.com/duncan</a> to find a great counselor and get 10% off of your first month of counseling!</li> <li> <a href=""https://www.squarespace.com/duncan""><strong>Squarespace</strong></a> - Use offer code: DUNCAN to save 10% on your first site.</li> <li> <a href=""https://www.expressvpn.com/duncan""><strong>ExpressVPN</strong></a> - Visit <a href=""https://www.expressvpn.com/duncan"">expressVPN.com/duncan</a> and get an extra 3 months FREE when you buy a 1 year package.</li> <li> <a href=""https://www.babbel.com/""><strong>Babbel</strong></a> - Sign up for a 3-month subscription with promo code DUNCAN to get an extra 3 months FREE!</li> </ul> ]]>"
466: Raghu Markus,https://audioboom.com/posts/7953557,3986,"Sun, 03 Oct 2021 00:48:27 +0000",no,"<![CDATA[<div> <strong>Raghu Markus</strong>, the person who literally introduced Duncan to Ram Dass, re-joins the DTFH!<br> <br> Check out the Love Serve Remember Foundation's 50th anniversary celebration of Ram Dass' seminal work, Be Here Now! Live on October 24th in Los Angeles, and streaming online! <a href=""https://www.ramdass.org/event/be-here-now-50th-celebration-concert-at-wisdome-la/""><strong>Click here for more info</strong></a>.<br> <br> Original music by <a href=""https://www.twitch.tv/aarongoldberg""><strong>Aaron Michael Goldberg</strong></a>.<br> <br>  </div> <div>This episode is brought to you by:<br> <br>  </div> <ul> <li> <a href=""https://betterhelp.com/duncan""><strong>BetterHelp</strong></a> - Visit <a href=""https://betterhelp.com/duncan"">betterhealth.com/duncan</a> to find a great counselor and get 10% off of your first month of counseling!</li> <li> <a href=""https://getquip.com/duncan""><strong>Quip</strong></a> - Visit <a href=""https://getquip.com/duncan""><strong><a href=""http://GetQuip.com/Duncan"">GetQuip.com/Duncan</a></strong></a> to SAVE $10 on a new electric toothbrush.</li> <li> <a href=""https://amazon.com/trussell""><strong>Amazon Music</strong></a> - Visit <a href=""https://amazon.com/trussell""><strong><a href=""http://Amazon.com/Trussell"">Amazon.com/Trussell</a></strong></a> and get your first 3 months of Amazon Music FREE!</li> <li> <a href=""https://www.bluechew.com/""><strong>BLUECHEW</strong></a> - Use offer code: DUNCAN at checkout and get your first shipment FREE with just $5 shipping.</li> </ul> ]]>"
465: JP Downer (AKA Pop Wonder),https://audioboom.com/posts/7948281,5471,"Sat, 25 Sep 2021 15:00:00 +0000",no,"<![CDATA[<div> <strong>JP Downer</strong>, rising star in the NFT world, joins the DTFH!<br> <br> You can check out JP's designs, shop for merch, and find things all Pop Wonder on his site, <a href=""https://www.popwonderco.com/""><strong><a href=""http://PopWonderCo.com"">PopWonderCo.com</a></strong></a>.<br> <br> Original music by <a href=""https://www.twitch.tv/aarongoldberg""><strong>Aaron Michael Goldberg</strong></a>.<br> <br>  </div> <div>This episode is brought to you by:</div> <div><br> </div> <ul> <li> <a href=""https://magicspoon.com/duncan""><strong>Magic Spoon</strong></a> - Visit <a href=""https://magicspoon.com/duncan""><strong><a href=""http://MagicSpoon.com/Duncan"">MagicSpoon.com/Duncan</a></strong></a> and use code <strong>DUNCAN</strong> at checkout to save $5 on your first order!</li> <li> <a href=""https://upstart.com/duncan""><strong>Upstart</strong></a> - Visit <a href=""https://upstart.com/duncan"">upstart.com/duncan</a> and see how Upstart can help you with your debt.</li> </ul> ]]>"
464: Jayson Thibault,https://audioboom.com/posts/7948259,5006,"Fri, 24 Sep 2021 16:40:42 +0000",no,"<![CDATA[<div> <strong>Jayson Thibault</strong>, Duncan's friend and one of the funniest humans to ever crawl out of a dolphin, joins the DTFH!<br> <br> You can hear more of Jayson on his podcast, <a href=""https://podcasts.apple.com/us/podcast/punch-drunk-sports/id624962786""><strong>Punch Drunk Sports</strong></a>! You can also see Jayson LIVE September 27 with Steve Rannazzisi at The Market in Valparaiso, Indiana! <a href=""https://forgettableproductions.ticketspice.com/steve-rannazzisi""><strong>Click here for tickets</strong></a>.<br> <br> Original music by <a href=""https://www.twitch.tv/aarongoldberg""><strong>Aaron Michael Goldberg</strong></a>.<br> <br>  </div> <div>This episode is brought to you by:<br> <br>  </div> <ul> <li> <a href=""https://betterhelp.com/duncan""><strong>BetterHelp</strong></a> - Visit <a href=""https://betterhelp.com/duncan"">betterhealth.com/duncan</a> to find a great counselor and get 10% off of your first month of counseling!</li> <li> <a href=""https://www.squarespace.com/duncan""><strong>Squarespace</strong></a> - Use offer code: DUNCAN to save 10% on your first site.</li> <li> <a href=""https://www.babbel.com/""><strong>Babbel</strong></a> - Sign up for a 3-month subscription with promo code DUNCAN to get an extra 3 months FREE!</li> </ul> ]]>"
463: David Nichtern,https://audioboom.com/posts/7944587,5350,"Sat, 18 Sep 2021 15:10:59 +0000",no,"<![CDATA[<div> <strong>David Nichtern</strong>, amazing mindfulness meditation teacher, re-joins the DTFH!<br> <br> Duncan and David are doing a live podcast on September 22nd! <a href=""https://www.dharmamoon.com/info-session""><strong>Click here for more information</strong></a>.<br> <br> Original music by <a href=""https://www.twitch.tv/aarongoldberg""><strong>Aaron Michael Goldberg</strong></a>.<br> <br>  </div> <div>This episode is brought to you by:<br> <br>  </div> <ul> <li> <a href=""https://betterhelp.com/duncan""><strong>BetterHelp</strong></a> - Visit <a href=""https://betterhelp.com/duncan"">betterhealth.com/duncan</a> to find a great counselor and get 10% off of your first month of counseling!</li> <li> <a href=""https://purple.com/duncan""><strong>Purple</strong></a> - Visit <a href=""https://purple.com/duncan"">Purple.com/Duncan10</a> and use promo code DUNCAN10 for $200 Off any mattress order of $1500 or more!</li> <li> <a href=""https://feals.com/""><strong>Feals</strong></a> - Visit <a href=""https://feals.com/"">feals.com/duncan</a> and get 50% off and FREE shipping on your first order.</li> <li> <a href=""https://www.shudder.com/""><strong>Shudder</strong></a> - Use promo code DUNCAN for a FREE 30 Day Trial!</li> </ul> ]]>"
